TreeID,Species,Site_X,Site_Y,Tree_x,Tree_y,Coordinate System/Datum
A1#1,R. Maple,712370.96,5090895.99,712369.64,5090891.06,UTM Zone 15N/WGS 1984
A1#2,S. Alder,712370.96,5090895.99,712371.65,5090895.13,
A1#3,B. Fir,712370.96,5090895.99,712370.89,5090898.18,
A2#1,R. Maple,712345.90,5090895.12,712342.76,5090898.06,
A2#2,S. Alder,712345.90,5090895.12,712346.37,5090894.75,
A2#3,W. Cedar,712345.90,5090895.12,712351.63,5090896.90,
A3#1,Aspen,712295.78,5090893.40,712293.21,5090891.67,
A3#2,Aspen,712295.78,5090893.40,712292.58,5090893.26,
A3#3,B. Fir,712295.78,5090893.40,712299.63,5090889.47,
A4#1,Aspen,712195.54,5090889.96,712195.41,5090890.22,
A4#2,Aspen,712195.54,5090889.96,712194.95,5090889.16,
A4#3,B. Fir,712195.54,5090889.96,712196.36,5090890.33,
A5#1,Aspen,712170.48,5090889.10,712168.54,5090890.12,
A5#2,Aspen,712170.48,5090889.10,712170.58,5090887.50,
A5#3,B. Fir,712170.48,5090889.10,712171.61,5090891.88,
A6#1,Aspen,712120.37,5090887.37,712119.39,5090886.37,
A6#2,Aspen,712120.37,5090887.37,712121.01,5090887.10,
A6#3,B. Fir,712120.37,5090887.37,712120.01,5090889.14,
A7#1,S. Maple,712020.13,5090883.93,712020.12,5090883.43,
A7#2,Aspen,712020.13,5090883.93,712018.58,5090889.94,
A7#3,B. Fir,712020.13,5090883.93,712013.49,5090881.14,
A8#1,B. Fir,711995.07,5090883.07,711996.07,5090883.07,
A8#2,R. Maple,711995.07,5090883.07,711996.01,5090881.90,
A8#3,R. Maple,711995.07,5090883.07,711993.85,5090883.52,
A9#1,B. Fir,711944.95,5090881.35,711940.15,5090881.22,
A9#2,B. Fir,711944.95,5090881.35,711942.63,5090881.96,
A9#3,S. Maple,711944.95,5090881.35,711936.65,5090881.35,
A10#1,W. Birch,711844.72,5090877.91,711843.25,5090880.98,
A10#2,S. Alder,711844.72,5090877.91,711844.61,5090879.51,
A10#3,W. Cedar,711844.72,5090877.91,711840.52,5090879.81,
A11#1,S. Alder,711819.66,5090877.05,711821.55,5090878.83,
A11#2,W. Birch,711819.66,5090877.05,711820.25,5090879.99,
A11#3,B. Fir,711819.66,5090877.05,711821.47,5090875.33,
A12#1,W. Cedar,711769.54,5090875.33,711765.80,5090872.02,
A12#2,S. Alder,711769.54,5090875.33,711770.10,5090874.91,
A12#3,S. Maple,711769.54,5090875.33,711765.37,5090877.04,
B1#1,W. Cedar,712371.82,5090871.01,712371.31,5090867.75,
B1#2,R. Maple,712371.82,5090871.01,712374.16,5090871.53,
B1#3,R. Maple,712371.82,5090871.01,712375.62,5090873.02,
B2#1,S. Alder,712346.76,5090870.15,712348.22,5090869.83,
B2#2,R. Maple,712346.76,5090870.15,712344.48,5090871.77,
B2#3,B. Fir,712346.76,5090870.15,712349.81,5090870.67,
